school,slug,nickname,state,field,head_coach,conference,world_series_appearances,titles
University of Florida,UOF176,Gators,Florida,Katie Seashole Pressly Softball Stadium,Tim Walton,SEC,"2008, 2009, 2010, 2011, 2013, 2014, 2015","2014, 2015"
University of Georgia,UOG208,Bulldogs,Georgia,Jack Turner Stadium,Lu Harris-Champer,SEC,"2009, 2010, 2016",None
University of Hartford,,Hawks,Connecticut,Hartford Softball Field,Sarah Kalka,America East,None,None
"University of Hawaiʻi at Mānoa
(Hawaii)",,Rainbow Wahine,Hawaii,Rainbow Wahine Softball Stadium,Bob Coolen,Big West,2010,None
University of Houston,,Cougars,Texas,Cougar Softball Stadium,Kristin Vesely,The American,None,None
"University of Illinois at Chicago
(UIC)",UOIAC267,Flames,Illinois,Flames Field,Lynn Curylo,Horizon League,1994,None
"University of Illinois at Urbana-Champaign
(Illinois)",UOIAUC269,Fighting Illini,Illinois,Martin Softball Complex,Tyra Perry,Big Ten,None,None
University of Iowa,UOI356,Hawkeyes,Iowa,Bob Pearl Softball Field,Marla Looper,Big Ten,"1995, 1996, 1997, 2001",None
University of Kansas,UOK382,Jayhawks,Kansas,Arrocha Ballpark,Megan Smith,Big 12,"1973, 1974, 1975, 1976, 1977, 1979,[2] 1992",None
University of Kentucky,UOK406,Wildcats,Kentucky,John Cropp Stadium,Rachel Lawson,SEC,2014,None
"University of Louisiana at Lafayette
(Louisiana–Lafayette)",UOLAL432,Ragin' Cajuns,Louisiana,Lamson Park,Michael Lotief,Sun Belt,"1993, 1995, 1996, 2003, 2008, 2014",None
"University of Louisiana at Monroe
(Louisiana–Monroe)",,Warhawks,Louisiana,ULM Softball Complex,Corey Lyon,Sun Belt,None,None
University of Louisville,,Cardinals,Kentucky,Ulmer Stadium,Sandy Pearsall,ACC,None,None
University of Maine,,Black Bears,Maine,Mike Kessock Field,Mike Coutts,America East,None,None
"University of Maryland Eastern Shore
(UMES)",,Hawks,Maryland,Hawk Field,Sam Douglas,MEAC,None,None
"University of Maryland, Baltimore County
(UMBC)",,Retrievers,Maryland,UMBC Softball Stadium,Heather Gelbard,America East,None,None
"University of Maryland, College Park
(Maryland)",,Terrapins,Maryland,Robert E. Taylor Stadium,Julie Wright,Big Ten,None,None
"University of Massachusetts Amherst
(UMass)",,Minutewomen,Massachusetts,UMass Softball Complex,Kristi Stefanoni,Atlantic 10,"1974, 1978, 1980,[2] 1992, 1997, 1998",None
"University of Massachusetts Lowell
(UMass Lowell)",,River Hawks,Massachusetts,River View Field,Danielle Henderson,America East,None,None
University of Memphis,,Tigers,Tennessee,Tiger Softball Complex,Natalie Poole,The American,None,None
