school,team,city,state,state_abbr,type,conference,division
St. Olaf College,Oles,Northfield,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
The College of St. Scholastica,Saints,Duluth,Minnesota,MN,,Upper Midwest Athletic Conference,D3
University of St. Thomas,Tommies,St. Paul,Minnesota,MN,,Minnesota Intercollegiate Athletic Conference,D3
Alcorn State University,Braves and Lady Braves,Lorman,Mississippi,MS,State,Southwestern Athletic Conference,D1
Jackson State University,Tigers and Lady Tigers,Jackson,Mississippi,MS,State,Southwestern Athletic Conference,D1
University of Mississippi,Rebels[A 16],Oxford,Mississippi,MS,State,Southeastern Conference,D1
Mississippi State University,Bulldogs,Starkville,Mississippi,MS,State,Southeastern Conference,D1
Mississippi Valley State University,Delta Devils and Devilettes,Itta Bena,Mississippi,MS,State,Southwestern Athletic Conference,D1
University of Southern Mississippi,Golden Eagles and Lady Eagles,Hattiesburg,Mississippi,MS,State,Conference USA,D1
Delta State University,Statesmen & Lady Statesmen,Cleveland,Mississippi,MS,,Gulf South Conference,D2
Mississippi College,Choctaws,Clinton,Mississippi,MS,,Gulf South Conference,D2
Belhaven University,Blazers,Jackson,Mississippi,MS,,American Southwest Conference,D3
Millsaps College,Majors and Lady Majors,Jackson,Mississippi,MS,,Southern Athletic Association,D3
Rust College,Bearcats,Holly Springs,Mississippi,MS,,Independent,D3
Blue Mountain College,Toppers,Blue Mountain,Mississippi,MS,,Southern States Athletic Conference,NAIA I
Tougaloo College,Bulldogs,Tougaloo,Mississippi,MS,,Gulf Coast Athletic Conference,NAIA I
William Carey University,Crusaders,Hattiesburg,Mississippi,MS,,Southern States Athletic Conference,NAIA I
University of Missouri,Tigers,Columbia,Missouri,MI,State,Southeastern Conference,D1
University of Missouri–Kansas City,Kangaroos,Kansas City,Missouri,MI,State,Western Athletic Conference,D1
Missouri State University,Bears and Lady Bears,Springfield,Missouri,MI,State,Missouri Valley Conference,D1
Saint Louis University,Billikens,St. Louis,Missouri,MI,Private/Catholic,Atlantic 10 Conference,D1
Southeast Missouri State University,Redhawks,Cape Girardeau,Missouri,MI,State,Ohio Valley Conference,D1
University of Central Missouri,Mules & Jennies,Warrensburg,Missouri,MI,,Mid-America Intercollegiate Athletics Association,D2
Drury University,Panthers,Springfield,Missouri,MI,,Great Lakes Valley Conference,D2
Lincoln University (MO),Blue Tigers,Jefferson City,Missouri,MI,,Mid-America Intercollegiate Athletics Association,D2
Lindenwood University,Lions & Lady Lions,St. Charles,Missouri,MI,,Mid-America Intercollegiate Athletics Association,D2
Maryville University,Saints,St. Louis,Missouri,MI,,Great Lakes Valley Conference,D2
Missouri University of Science and Technology,Miners,Rolla,Missouri,MI,,Great Lakes Valley Conference,D2
Missouri Southern State University,Lions,Joplin,Missouri,MI,,Mid-America Intercollegiate Athletics Association,D2
Missouri Western State University,Griffons,St. Joseph,Missouri,MI,,Mid-America Intercollegiate Athletics Association,D2
University of Missouri–St. Louis,Tritons,St. Louis,Missouri,MI,,Great Lakes Valley Conference,D2
Northwest Missouri State University,Bearcats,Maryville,Missouri,MI,,Mid-America Intercollegiate Athletics Association,D2
Rockhurst University,Hawks,Kansas City,Missouri,MI,,Great Lakes Valley Conference,D2
Southwest Baptist University,Bearcats,Bolivar,Missouri,MI,,Mid-America Intercollegiate Athletics Association,D2
Truman State University,Bulldogs,Kirksville,Missouri,MI,,Great Lakes Valley Conference,D2
William Jewell College,Cardinals,Liberty,Missouri,MI,,Great Lakes Valley Conference,D2
Fontbonne University,Griffins,St. Louis,Missouri,MI,,St. Louis Intercollegiate Athletic Conference,D3
Washington University in St. Louis,Bears,St. Louis,Missouri,MI,,University Athletic Association,D3
Webster University,Gorloks,St. Louis,Missouri,MI,,St. Louis Intercollegiate Athletic Conference,D3
Westminster College,Blue Jays,Fulton,Missouri,MI,,St. Louis Intercollegiate Athletic Conference,D3
Avila University,Eagles,Kansas City,Missouri,MI,,Heart of America Athletic Conference,NAIA I
Central Methodist University,Eagles,Fayette,Missouri,MI,,Heart of America Athletic Conference,NAIA I
Columbia College (MO),Cougars,Columbia,Missouri,MI,,American Midwest Conference,NAIA I
Culver–Stockton College,Wildcats,Canton,Missouri,MI,,Heart of America Athletic Conference,NAIA I
Evangel University,Crusaders,Springfield,Missouri,MI,,Heart of America Athletic Conference,NAIA I
Hannibal–LaGrange University,Trojans,Hannibal,Missouri,MI,,American Midwest Conference,NAIA I
Harris–Stowe State University,Hornets,St. Louis,Missouri,MI,,American Midwest Conference,NAIA I
Missouri Baptist University,Spartans,St. Louis,Missouri,MI,,American Midwest Conference,NAIA I
Missouri Valley College,Vikings,Marshall,Missouri,MI,,Heart of America Athletic Conference,NAIA I
College of the Ozarks,Bobcats,Point Lookout,Missouri,MI,,Association of Independent Institutions,NAIA II
Park University,Pirates,Parkville,Missouri,MI,,American Midwest Conference,NAIA I
St. Louis College of Pharmacy,Eutectics,St. Louis,Missouri,MI,,American Midwest Conference,NAIA I
Stephens College,Stars,Columbia,Missouri,MI,,American Midwest Conference,NAIA I
William Woods University,Owls,Fulton,Missouri,MI,,American Midwest Conference,NAIA I
University of Montana,Grizzlies[A 17],Missoula,Montana,MT,State,Big Sky Conference,D1
Montana State University,Bobcats,Bozeman,Montana,MT,State,Big Sky Conference,D1
Montana State University Billings,Yellowjackets,Billings,Montana,MT,,Great Northwest Athletic Conference,D2
Carroll College,Fighting Saints,Helena,Montana,MT,,Frontier Conference,NAIA I
University of Great Falls,Argonauts,Great Falls,Montana,MT,,Frontier Conference,NAIA I
Montana State University–Northern,Lights,Havre,Montana,MT,,Frontier Conference,NAIA I
Montana Tech of the University of Montana,Orediggers,Butte,Montana,MT,,Frontier Conference,NAIA I
University of Montana–Western,Bulldogs,Dillon,Montana,MT,,Frontier Conference,NAIA I
Rocky Mountain College,Battlin' Bears,Billings,Montana,MT,,Frontier Conference,NAIA I
Creighton University,Bluejays,Omaha,Nebraska,NE,Private/Catholic,Big East Conference,D1
University of Nebraska–Lincoln,Cornhuskers,Lincoln,Nebraska,NE,State,Big Ten Conference,D1
University of Nebraska Omaha,Mavericks[A 19],Omaha,Nebraska,NE,State,The Summit League,D1
Chadron State College,Eagles,Chadron,Nebraska,NE,,Rocky Mountain Athletic Conference,D2
University of Nebraska at Kearney,Lopers,Kearney,Nebraska,NE,,Mid-America Intercollegiate Athletics Association,D2
Wayne State College,Wildcats,Wayne,Nebraska,NE,,Northern Sun Intercollegiate Conference,D2
Nebraska Wesleyan University,Prairie Wolves,Lincoln,Nebraska,NE,,Iowa Intercollegiate Athletic Conference,D3
Bellevue University,Bruins,Bellevue,Nebraska,NE,,North Star Athletic Association,NAIA II
Concordia University–Nebraska,Bulldogs,Seward,Nebraska,NE,,Great Plains Athletic Conference,NAIA II
Doane College,Tigers,Crete,Nebraska,NE,,Great Plains Athletic Conference,NAIA II
Hastings College,Broncos,Hastings,Nebraska,NE,,Great Plains Athletic Conference,NAIA II
Midland University,Warriors,Fremont,Nebraska,NE,,Great Plains Athletic Conference,NAIA II
Peru State College,Bobcats,Peru,Nebraska,NE,,Heart of America Athletic Conference,NAIA I
College of Saint Mary,Flames,Omaha,Nebraska,NE,,Great Plains Athletic Conference,NAIA II
York College,Panthers,York,Nebraska,NE,,Kansas Collegiate Athletic Conference,NAIA II
"University of Nevada, Las Vegas",Rebels[A 20],Paradise,Nevada,NV,State,Mountain West Conference,D1
"University of Nevada, Reno",Wolf Pack,Reno,Nevada,NV,State,Mountain West Conference,D1
Sierra Nevada College,Eagles,"Incline Village, Nevada",Nevada,NV,,California Pacific Conference,–
Dartmouth College,Big Green,Hanover,New Hampshire,NH,Private/Non-sectarian,Ivy League,D1
University of New Hampshire,Wildcats,Durham,New Hampshire,NH,State,America East Conference,D1
Franklin Pierce University,Ravens,Rindge,New Hampshire,NH,,Northeast-10 Conference,D2
Saint Anselm College,Hawks,Goffstown,New Hampshire,NH,,Northeast-10 Conference,D2
Southern New Hampshire University,Penmen,Manchester,New Hampshire,NH,,Northeast-10 Conference,D2
Colby–Sawyer College,Chargers,New London,New Hampshire,NH,,North Atlantic Conference,D3
Daniel Webster College,Eagles,Nashua,New Hampshire,NH,,New England Collegiate Conference,D3
Keene State College,Owls,Keene,New Hampshire,NH,,Little East Conference,D3
New England College,Pilgrims,Henniker,New Hampshire,NH,,North Atlantic Conference,D3
Plymouth State University,Panthers,Plymouth,New Hampshire,NH,,Little East Conference,D3
Rivier University,Raiders,Nashua,New Hampshire,NH,,Great Northeast Athletic Conference,D3
Fairleigh Dickinson University,Knights,Hackensack,New Jersey,NJ,Private/Non-sectarian,Northeast Conference,D1
Monmouth University,Hawks,West Long Branch,New Jersey,NJ,Private/Non-Sectarian,Metro Atlantic Athletic Conference,D1
New Jersey Institute of Technology,Highlanders,Newark,New Jersey,NJ,State,Atlantic Sun Conference,D1
Princeton University,Tigers,Princeton,New Jersey,NJ,Private/Non-Sectarian,Ivy League,D1
Rider University,Broncs,Lawrenceville,New Jersey,NJ,Private/Non-Sectarian,Metro Atlantic Athletic Conference,D1
Rutgers University,Scarlet Knights,New Brunswick,New Jersey,NJ,State-private hybrid,Big Ten Conference,D1
Saint Peter's University,Peacocks and Peahens,Jersey City,New Jersey,NJ,Private/Catholic,Metro Atlantic Athletic Conference,D1
Seton Hall University,Pirates,South Orange,New Jersey,NJ,Private/Catholic,Big East Conference,D1
Bloomfield College,Bears,Bloomfield,New Jersey,NJ,,Central Atlantic Collegiate Conference,D2
Caldwell University,Cougars,Caldwell,New Jersey,NJ,,Central Atlantic Collegiate Conference,D2
Felician University,Golden Falcons,Rutherford,New Jersey,NJ,,Central Atlantic Collegiate Conference,D2
Georgian Court University,Lions,Lakewood,New Jersey,NJ,,Central Atlantic Collegiate Conference,D2
Centenary College of New Jersey,Cyclones,Hackettstown,New Jersey,NJ,,Colonial States Athletic Conference,D3
Drew University,Rangers,Madison,New Jersey,NJ,,Landmark Conference,D3
"Fairleigh Dickinson University, Florham",Devils,Madison/Florham Park,New Jersey,NJ,,MAC Freedom Conference,D3
Kean University,Cougars,Union Township,New Jersey,NJ,,New Jersey Athletic Conference,D3
Montclair State University,Red Hawks,Montclair,New Jersey,NJ,,New Jersey Athletic Conference,D3
The College of New Jersey,Lions,Ewing,New Jersey,NJ,,New Jersey Athletic Conference,D3
New Jersey City University,Gothic Knights,Jersey City,New Jersey,NJ,,New Jersey Athletic Conference,D3
Ramapo College,Roadrunners,Mahwah,New Jersey,NJ,,New Jersey Athletic Conference,D3
Rowan University,Profs,Glassboro,New Jersey,NJ,,New Jersey Athletic Conference,D3
Rutgers University–Camden,Scarlet Raptors,Camden,New Jersey,NJ,,New Jersey Athletic Conference,D3
Rutgers University–Newark,Scarlet Raiders,Newark,New Jersey,NJ,,New Jersey Athletic Conference,D3
College of Saint Elizabeth,Screaming Eagles,Convent Station,New Jersey,NJ,,North Eastern Athletic Conference,D3
Stevens Institute of Technology,Ducks,Hoboken,New Jersey,NJ,,Empire 8,D3
Stockton University,Ospreys,Pomona,New Jersey,NJ,,New Jersey Athletic Conference,D3
William Paterson University,Pioneers,Wayne,New Jersey,NJ,,New Jersey Athletic Conference,D3
University of New Mexico,Lobos,Albuquerque,New Mexico,NM,State,Mountain West Conference,D1
New Mexico State University,Aggies,Las Cruces,New Mexico,NM,State,Western Athletic Conference,D1
Eastern New Mexico University,Greyhounds,Portales,New Mexico,NM,,Lone Star Conference,D2
New Mexico Highlands University,Cowboys & Cowgirls,Las Vegas,New Mexico,NM,,Rocky Mountain Athletic Conference,D2
Western New Mexico University,Mustangs,Silver City,New Mexico,NM,,Lone Star Conference,D2
Northern New Mexico College,Eagles,Española,New Mexico,NM,,Association of Independent Institutions,NAIA II
University of the Southwest,Mustangs,Hobbs,New Mexico,NM,,Red River Athletic Conference,NAIA I
"University at Albany, SUNY",Great Danes,Albany,New York,NY,State,America East Conference,D1
Binghamton University,Bearcats,Vestal,New York,NY,State,America East Conference,D1
University at Buffalo,Bulls,Buffalo,New York,NY,State,Mid-American Conference,D1
Canisius College,Golden Griffins,Buffalo,New York,NY,Private/Catholic,Metro Atlantic Athletic Conference,D1
Colgate University,Raiders,Hamilton,New York,NY,Private/Non-sectarian,Patriot League,D1
Columbia University,Lions,Manhattan,New York,NY,Private/Non-sectarian,Ivy League,D1
Cornell University,Big Red,Ithaca,New York,NY,Private/Statutory state,Ivy League,D1
Fordham University,Rams,Bronx,New York,NY,Private/Catholic,Atlantic 10 Conference,D1
Hofstra University,Pride,Hempstead,New York,NY,Private/Non-sectarian,Colonial Athletic Association,D1
Iona College,Gaels,New Rochelle,New York,NY,Private/Catholic,Metro Atlantic Athletic Conference,D1
Long Island University–Brooklyn,Blackbirds,Brooklyn,New York,NY,Private/Non-Sectarian,Northeast Conference,D1
Manhattan College,Jaspers and Lady Jaspers,Riverdale,New York,NY,Private/Catholic,Metro Atlantic Athletic Conference,D1
Marist College,Red Foxes,Poughkeepsie,New York,NY,Private/Catholic,Metro Atlantic Athletic Conference,D1
Niagara University,Purple Eagles,Lewiston,New York,NY,Private/Catholic,Metro Atlantic Athletic Conference,D1
St. Bonaventure University,Bonnies,St. Bonaventure,New York,NY,Private/Catholic,Atlantic 10 Conference,D1
St. Francis College,Terriers[A 24],Brooklyn,New York,NY,Private/Catholic,Northeast Conference,D1
St. John's University,Red Storm[A 26],Jamaica,New York,NY,Private/Catholic,Big East Conference,D1
Siena College,Saints,Loudonville,New York,NY,Private/Catholic,Metro Atlantic Athletic Conference,D1
Stony Brook University,Seawolves,Stony Brook,New York,NY,State,America East Conference,D1
